nombre_foto,peso_real_kg,peso_estimado_kg,error_absoluto_kg
BLF2537_0.jpg,420.00,413.36,6.64
BLF2537_1.jpg,420.00,402.60,17.40
BLF2537_3.jpg,420.00,402.24,17.76
lateral_62.png,586.00,508.00,78.00
BLF2570_0.jpg,258.00,257.40,0.60
BLF2570_1.jpg,258.00,347.79,89.79
BLF2570_3.jpg,258.00,268.09,10.09
lateral_43.png,601.00,609.47,8.47
BLF2613_0.jpg,280.00,265.77,14.23
BLF2613_1.jpg,280.00,258.59,21.41
BLF2613_3.jpg,280.00,252.88,27.12
BLF2541_0.jpg,466.00,416.75,49.25
BLF2541_1.jpg,466.00,344.57,121.43
BLF2541_3.jpg,466.00,403.82,62.18
BLF2657_0.jpg,152.00,245.13,93.13
BLF2657_1.jpg,152.00,213.38,61.38
BLF2657_3.jpg,152.00,174.28,22.28
BLF2186_0.jpg,245.00,228.72,16.28
BLF2186_1.jpg,245.00,209.65,35.35
BLF2186_3.jpg,245.00,229.06,15.94
BLF2131_0.jpg,212.00,239.10,27.10
BLF2131_1.jpg,212.00,211.14,0.86
BLF2131_3.jpg,212.00,196.15,15.85
BLF2583_0.jpg,219.00,232.25,13.25
BLF2583_1.jpg,219.00,222.87,3.87
BLF2583_3.jpg,219.00,209.63,9.37
BLF2192_0.jpg,244.00,307.85,63.85
BLF2192_1.jpg,244.00,209.92,34.08
BLF2192_3.jpg,244.00,229.86,14.14
BLF2544_0.jpg,378.00,396.18,18.18
BLF2544_1.jpg,378.00,374.28,3.72
BLF2544_3.jpg,378.00,355.71,22.29
BLF2617_0.jpg,300.00,341.47,41.47
BLF2617_1.jpg,300.00,322.48,22.48
BLF2617_3.jpg,300.00,305.05,5.05
BLF2087_0.jpg,287.00,234.89,52.11
BLF2087_1.jpg,287.00,276.10,10.90
BLF2087_3.jpg,287.00,270.79,16.21
BLF2609_0.jpg,286.00,279.07,6.93
BLF2609_1.jpg,286.00,251.99,34.01
BLF2609_3.jpg,286.00,233.74,52.26
BLF2091_0.jpg,273.00,330.00,57.00
BLF2091_1.jpg,273.00,257.13,15.87
BLF2091_3.jpg,273.00,271.49,1.51
BLF2239_0.jpg,245.00,252.05,7.05
BLF2239_1.jpg,245.00,236.21,8.79
BLF2239_3.jpg,245.00,213.58,31.42
BLF2229_0.jpg,246.00,291.63,45.63
BLF2229_1.jpg,246.00,237.81,8.19
BLF2229_3.jpg,246.00,291.72,45.72
BLF2314_0.jpg,260.00,230.23,29.77
BLF2314_1.jpg,260.00,251.42,8.58
BLF2314_3.jpg,260.00,295.32,35.32
BLF2074_0.jpg,210.00,210.83,0.83
BLF2074_1.jpg,210.00,231.79,21.79
BLF2074_3.jpg,210.00,191.72,18.28
BLF2290_0.jpg,186.00,217.63,31.63
BLF2290_1.jpg,186.00,208.00,22.00
BLF2290_3.jpg,186.00,200.42,14.42
BLF2577_0.jpg,283.00,306.52,23.52
BLF2577_1.jpg,283.00,272.89,10.11
BLF2577_3.jpg,283.00,252.79,30.21
BLF2095_0.jpg,252.00,249.29,2.71
BLF2095_1.jpg,252.00,197.64,54.36
