nombre_foto,peso_real_kg,peso_estimado_kg,limite_inferior_kg,limite_superior_kg,dentro_intervalo
BLF2537_0.jpg,420.00,430.33,319.28,541.38,True
BLF2537_1.jpg,420.00,419.15,308.10,530.20,True
BLF2537_3.jpg,420.00,414.99,303.94,526.04,True
lateral_62.png,586.00,503.77,392.72,614.82,True
BLF2570_0.jpg,258.00,257.32,146.27,368.37,True
BLF2570_1.jpg,258.00,380.56,269.51,491.61,False
BLF2570_3.jpg,258.00,278.21,167.16,389.25,True
lateral_43.png,601.00,618.11,507.07,729.16,True
BLF2613_0.jpg,280.00,270.82,159.78,381.87,True
BLF2613_1.jpg,280.00,280.38,169.33,391.43,True
BLF2613_3.jpg,280.00,258.16,147.11,369.21,True
BLF2541_0.jpg,466.00,429.19,318.14,540.24,True
BLF2541_1.jpg,466.00,376.44,265.39,487.49,True
BLF2541_3.jpg,466.00,405.41,294.36,516.46,True
BLF2657_0.jpg,152.00,260.03,148.98,371.08,True
BLF2657_1.jpg,152.00,244.33,133.28,355.38,True
BLF2657_3.jpg,152.00,183.92,72.88,294.97,True
BLF2186_0.jpg,245.00,231.72,120.67,342.77,True
BLF2186_1.jpg,245.00,227.73,116.68,338.77,True
BLF2186_3.jpg,245.00,236.53,125.48,347.58,True
BLF2131_0.jpg,212.00,249.38,138.33,360.43,True
BLF2131_1.jpg,212.00,235.69,124.64,346.74,True
BLF2131_3.jpg,212.00,214.60,103.55,325.65,True
BLF2583_0.jpg,219.00,241.81,130.76,352.86,True
BLF2583_1.jpg,219.00,238.02,126.97,349.07,True
BLF2583_3.jpg,219.00,213.15,102.10,324.20,True
BLF2192_0.jpg,244.00,304.08,193.03,415.13,True
BLF2192_1.jpg,244.00,226.42,115.37,337.47,True
BLF2192_3.jpg,244.00,232.73,121.68,343.78,True
BLF2544_0.jpg,378.00,402.36,291.31,513.41,True
BLF2544_1.jpg,378.00,401.56,290.51,512.61,True
BLF2544_3.jpg,378.00,354.22,243.17,465.27,True
BLF2617_0.jpg,300.00,330.98,219.93,442.02,True
BLF2617_1.jpg,300.00,341.45,230.40,452.50,True
BLF2617_3.jpg,300.00,305.66,194.62,416.71,True
BLF2087_0.jpg,287.00,251.46,140.41,362.51,True
BLF2087_1.jpg,287.00,314.41,203.36,425.46,True
BLF2087_3.jpg,287.00,285.86,174.81,396.90,True
BLF2609_0.jpg,286.00,284.23,173.18,395.28,True
BLF2609_1.jpg,286.00,272.42,161.37,383.47,True
BLF2609_3.jpg,286.00,248.21,137.16,359.26,True
BLF2091_0.jpg,273.00,322.95,211.90,434.00,True
BLF2091_1.jpg,273.00,269.82,158.77,380.87,True
BLF2091_3.jpg,273.00,270.59,159.54,381.64,True
BLF2239_0.jpg,245.00,254.30,143.25,365.35,True
BLF2239_1.jpg,245.00,259.13,148.08,370.18,True
BLF2239_3.jpg,245.00,227.16,116.11,338.21,True
BLF2229_0.jpg,246.00,287.63,176.58,398.68,True
BLF2229_1.jpg,246.00,258.91,147.87,369.96,True
BLF2229_3.jpg,246.00,291.95,180.90,403.00,True
BLF2314_0.jpg,260.00,232.70,121.65,343.74,True
BLF2314_1.jpg,260.00,267.94,156.89,378.99,True
BLF2314_3.jpg,260.00,295.01,183.96,406.06,True
BLF2074_0.jpg,210.00,219.99,108.94,331.04,True
BLF2074_1.jpg,210.00,253.00,141.95,364.05,True
BLF2074_3.jpg,210.00,202.45,91.40,313.50,True
BLF2290_0.jpg,186.00,229.20,118.15,340.25,True
BLF2290_1.jpg,186.00,237.40,126.35,348.45,True
BLF2290_3.jpg,186.00,219.29,108.24,330.34,True
BLF2577_0.jpg,283.00,303.27,192.22,414.32,True
BLF2577_1.jpg,283.00,295.30,184.25,406.35,True
BLF2577_3.jpg,283.00,252.96,141.91,364.01,True
BLF2095_0.jpg,252.00,259.62,148.57,370.67,True
BLF2095_1.jpg,252.00,221.04,109.99,332.08,True
BLF2095_3.jpg,252.00,279.61,168.56,390.66,True
BLF2139_0.jpg,234.00,237.73,126.68,348.78,True
BLF2139_1.jpg,234.00,209.74,98.69,320.79,True
BLF2139_3.jpg,234.00,256.11,145.07,367.16,True
BLF2181_0.jpg,245.00,287.75,176.70,398.79,True
BLF2181_1.jpg,245.00,264.56,153.51,375.60,True
BLF2181_3.jpg,245.00,260.76,149.71,371.81,True
BLF2130_0.jpg,285.00,310.02,198.97,421.07,True
BLF2130_1.jpg,285.00,230.85,119.80,341.90,True
BLF2130_3.jpg,285.00,259.56,148.51,370.60,True
BLF2277_0.jpg,210.00,218.74,107.70,329.79,True
BLF2277_1.jpg,210.00,244.08,133.03,355.13,True
BLF2277_3.jpg,210.00,227.31,116.26,338.36,True
BLF2302_0.jpg,173.00,233.04,121.99,344.09,True
BLF2302_1.jpg,173.00,242.72,131.67,353.77,True
BLF2302_3.jpg,173.00,214.19,103.14,325.24,True
BLF2058_0.jpg,220.00,238.17,127.12,349.22,True
BLF2058_1.jpg,220.00,278.81,167.76,389.86,True
BLF2058_3.jpg,220.00,253.39,142.34,364.44,True
BLF2575_0.jpg,211.00,265.16,154.11,376.20,True
BLF2575_1.jpg,211.00,265.59,154.54,376.64,True
BLF2575_3.jpg,211.00,240.17,129.12,351.22,True
