nombre_foto,peso_real_kg,peso_estimado_kg,error_absoluto_kg
BLF2537_0.jpg,420.00,413.62,6.38
BLF2537_1.jpg,420.00,355.66,64.34
BLF2537_3.jpg,420.00,405.64,14.36
lateral_62.png,586.00,509.09,76.91
BLF2570_0.jpg,258.00,261.41,3.41
BLF2570_1.jpg,258.00,297.22,39.22
BLF2570_3.jpg,258.00,234.89,23.11
lateral_43.png,601.00,572.72,28.28
BLF2613_0.jpg,280.00,255.67,24.33
BLF2613_1.jpg,280.00,252.49,27.51
BLF2613_3.jpg,280.00,265.67,14.33
BLF2541_0.jpg,466.00,422.35,43.65
BLF2541_1.jpg,466.00,346.10,119.90
BLF2541_3.jpg,466.00,376.92,89.08
BLF2657_0.jpg,152.00,190.48,38.48
BLF2657_1.jpg,152.00,180.00,28.00
BLF2657_3.jpg,152.00,155.45,3.45
BLF2186_0.jpg,245.00,239.47,5.53
BLF2186_1.jpg,245.00,235.47,9.53
BLF2186_3.jpg,245.00,240.36,4.64
BLF2131_0.jpg,212.00,212.62,0.62
BLF2131_1.jpg,212.00,217.30,5.30
BLF2131_3.jpg,212.00,183.48,28.52
BLF2583_0.jpg,219.00,221.99,2.99
BLF2583_1.jpg,219.00,211.61,7.39
BLF2583_3.jpg,219.00,182.01,36.99
BLF2192_0.jpg,244.00,320.15,76.15
BLF2192_1.jpg,244.00,214.76,29.24
BLF2192_3.jpg,244.00,225.32,18.68
BLF2544_0.jpg,378.00,365.22,12.78
BLF2544_1.jpg,378.00,377.79,0.21
BLF2544_3.jpg,378.00,320.11,57.89
BLF2617_0.jpg,300.00,291.36,8.64
BLF2617_1.jpg,300.00,298.57,1.43
BLF2617_3.jpg,300.00,294.74,5.26
BLF2087_0.jpg,287.00,228.18,58.82
BLF2087_1.jpg,287.00,292.58,5.58
BLF2087_3.jpg,287.00,239.05,47.95
BLF2609_0.jpg,286.00,242.56,43.44
BLF2609_1.jpg,286.00,229.27,56.73
BLF2609_3.jpg,286.00,226.09,59.91
BLF2091_0.jpg,273.00,298.26,25.26
BLF2091_1.jpg,273.00,247.86,25.14
BLF2091_3.jpg,273.00,261.83,11.17
BLF2239_0.jpg,245.00,248.27,3.27
BLF2239_1.jpg,245.00,221.49,23.51
BLF2239_3.jpg,245.00,208.41,36.59
BLF2229_0.jpg,246.00,272.58,26.58
BLF2229_1.jpg,246.00,202.16,43.84
BLF2229_3.jpg,246.00,255.83,9.83
BLF2314_0.jpg,260.00,194.06,65.94
BLF2314_1.jpg,260.00,223.31,36.69
BLF2314_3.jpg,260.00,264.44,4.44
BLF2074_0.jpg,210.00,217.18,7.18
BLF2074_1.jpg,210.00,247.42,37.42
BLF2074_3.jpg,210.00,193.46,16.54
BLF2290_0.jpg,186.00,185.06,0.94
BLF2290_1.jpg,186.00,190.74,4.74
BLF2290_3.jpg,186.00,189.35,3.35
BLF2577_0.jpg,283.00,333.87,50.87
BLF2577_1.jpg,283.00,264.11,18.89
BLF2577_3.jpg,283.00,257.80,25.20
BLF2095_0.jpg,252.00,236.40,15.60
BLF2095_1.jpg,252.00,204.30,47.70
BLF2095_3.jpg,252.00,253.71,1.71
BLF2139_0.jpg,234.00,232.11,1.89
BLF2139_1.jpg,234.00,185.16,48.84
BLF2139_3.jpg,234.00,255.09,21.09
BLF2181_0.jpg,245.00,293.94,48.94
BLF2181_1.jpg,245.00,240.67,4.33
BLF2181_3.jpg,245.00,288.03,43.03
