nombre_foto,peso_real_kg,peso_estimado_kg,error_absoluto_kg
BLF2537_0.jpg,420.00,387.42,32.58
BLF2537_1.jpg,420.00,396.35,23.65
BLF2537_3.jpg,420.00,378.85,41.15
lateral_62.png,586.00,480.95,105.05
BLF2570_0.jpg,258.00,286.36,28.36
BLF2570_1.jpg,258.00,359.05,101.05
BLF2570_3.jpg,258.00,279.86,21.86
lateral_43.png,601.00,532.98,68.02
BLF2613_0.jpg,280.00,251.98,28.02
BLF2613_1.jpg,280.00,276.34,3.66
BLF2613_3.jpg,280.00,266.65,13.35
BLF2541_0.jpg,466.00,418.02,47.98
BLF2541_1.jpg,466.00,311.51,154.49
BLF2541_3.jpg,466.00,377.59,88.41
BLF2657_0.jpg,152.00,249.85,97.85
BLF2657_1.jpg,152.00,226.31,74.31
BLF2657_3.jpg,152.00,178.10,26.10
BLF2186_0.jpg,245.00,247.35,2.35
BLF2186_1.jpg,245.00,238.20,6.80
BLF2186_3.jpg,245.00,256.03,11.03
BLF2131_0.jpg,212.00,250.87,38.87
BLF2131_1.jpg,212.00,231.00,19.00
BLF2131_3.jpg,212.00,204.33,7.67
BLF2583_0.jpg,219.00,238.98,19.98
BLF2583_1.jpg,219.00,244.85,25.85
BLF2583_3.jpg,219.00,224.54,5.54
BLF2192_0.jpg,244.00,325.68,81.68
BLF2192_1.jpg,244.00,226.22,17.78
BLF2192_3.jpg,244.00,260.67,16.67
BLF2544_0.jpg,378.00,355.76,22.24
BLF2544_1.jpg,378.00,343.09,34.91
BLF2544_3.jpg,378.00,332.10,45.90
BLF2617_0.jpg,300.00,318.96,18.96
BLF2617_1.jpg,300.00,337.10,37.10
BLF2617_3.jpg,300.00,314.21,14.21
BLF2087_0.jpg,287.00,243.20,43.80
BLF2087_1.jpg,287.00,305.15,18.15
BLF2087_3.jpg,287.00,253.23,33.77
BLF2609_0.jpg,286.00,272.17,13.83
BLF2609_1.jpg,286.00,248.70,37.30
BLF2609_3.jpg,286.00,239.94,46.06
BLF2091_0.jpg,273.00,323.39,50.39
BLF2091_1.jpg,273.00,268.23,4.77
BLF2091_3.jpg,273.00,284.33,11.33
BLF2239_0.jpg,245.00,250.79,5.79
BLF2239_1.jpg,245.00,248.82,3.82
BLF2239_3.jpg,245.00,221.57,23.43
BLF2229_0.jpg,246.00,272.23,26.23
BLF2229_1.jpg,246.00,218.18,27.82
BLF2229_3.jpg,246.00,268.75,22.75
BLF2314_0.jpg,260.00,233.24,26.76
BLF2314_1.jpg,260.00,246.94,13.06
BLF2314_3.jpg,260.00,304.55,44.55
BLF2074_0.jpg,210.00,207.48,2.52
BLF2074_1.jpg,210.00,241.77,31.77
BLF2074_3.jpg,210.00,207.38,2.62
BLF2290_0.jpg,186.00,217.05,31.05
BLF2290_1.jpg,186.00,215.56,29.56
BLF2290_3.jpg,186.00,213.16,27.16
BLF2577_0.jpg,283.00,325.96,42.96
BLF2577_1.jpg,283.00,302.90,19.90
BLF2577_3.jpg,283.00,268.16,14.84
BLF2095_0.jpg,252.00,242.97,9.03
BLF2095_1.jpg,252.00,205.73,46.27
BLF2095_3.jpg,252.00,278.78,26.78
BLF2139_0.jpg,234.00,244.14,10.14
BLF2139_1.jpg,234.00,221.87,12.13
BLF2139_3.jpg,234.00,250.94,16.94
BLF2181_0.jpg,245.00,298.20,53.20
BLF2181_1.jpg,245.00,269.78,24.78
BLF2181_3.jpg,245.00,280.54,35.54
BLF2130_0.jpg,285.00,304.98,19.98
BLF2130_1.jpg,285.00,228.30,56.70
BLF2130_3.jpg,285.00,290.70,5.70
BLF2277_0.jpg,210.00,221.20,11.20
BLF2277_1.jpg,210.00,235.91,25.91
BLF2277_3.jpg,210.00,241.02,31.02
BLF2302_0.jpg,173.00,239.72,66.72
BLF2302_1.jpg,173.00,238.29,65.29
BLF2302_3.jpg,173.00,240.54,67.54
BLF2058_0.jpg,220.00,250.40,30.40
BLF2058_1.jpg,220.00,274.72,54.72
BLF2058_3.jpg,220.00,250.57,30.57
BLF2575_0.jpg,211.00,266.56,55.56
BLF2575_1.jpg,211.00,260.25,49.25
BLF2575_3.jpg,211.00,236.29,25.29
BLF2167_0.jpg,242.00,280.57,38.57
BLF2167_1.jpg,242.00,247.53,5.53
BLF2167_3.jpg,242.00,275.38,33.38
BLF2020_0.jpg,226.00,280.68,54.68
